"Project","Folder","File","Num of Files","Wordcount","Num of Dlg","Untranslated","Need Review","Approved","Failed","Do not translate","ICE match","100% match","Fuzzy match",
,"\yast","samba-users.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","scanner.pl.po",2528,0,0,0,2528,0,0,0,0,0,2528,
,"\yast","security.pl.po",1549,0,0,0,1549,0,0,0,0,0,1549,
,"\yast","slepos-installation.pl.po",444,0,0,0,444,0,0,0,0,0,444,
,"\yast","slepos-system-manager.pl.po",912,0,0,0,912,0,0,0,0,0,912,
,"\yast","slp.pl.po",8,0,0,0,8,0,0,0,0,0,8,
,"\yast","slp-server.pl.po",602,0,0,0,602,0,0,0,0,0,602,
,"\yast","sound.pl.po",1762,0,0,0,1762,0,0,0,0,0,1762,
,"\yast","sound_db.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\yast","storage.pl.po",9949,0,0,0,9949,0,0,0,0,0,9949,
,"\yast","support.pl.po",290,0,0,0,290,0,0,0,0,0,290,
,"\yast","sysconfig.pl.po",706,0,0,0,706,0,0,0,0,0,706,
,"\yast","tftp-server.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","timezone_db.pl.po",300,0,0,0,300,0,0,0,0,0,300,
,"\yast","tune.pl.po",1382,0,0,0,1382,0,0,0,0,0,1382,
,"\yast","tv.pl.po",1428,0,0,0,1428,0,0,0,0,0,1428,
,"\yast","update.pl.po",826,0,0,0,826,0,0,0,0,0,826,
,"\yast","users.pl.po",5162,0,0,0,5162,0,0,0,0,0,5162,
,"\yast","vm.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","wol.pl.po",84,0,0,0,84,0,0,0,0,0,84,
,"\yast","x11.pl.po",409,0,0,0,409,0,0,0,0,0,409,
,"\yast","xpram.pl.po",150,0,0,0,150,0,0,0,0,0,150,
,"\yast","yast2-apparmor.pl.po",6065,0,0,0,6065,0,0,0,0,0,6065,
,"\yast","you-server.pl.po",318,0,0,0,318,0,0,0,0,0,318,
